,StaticClassifierStates,HmmStates,target
621,Lying,Lying,Lying
622,Lying,Lying,Lying
623,Lying,Lying,Lying
624,Lying,Lying,Lying
625,Lying,Lying,Lying
626,Walking,Walking,Walking
627,Walking,Walking,Walking
628,Walking,Walking,Walking
629,Walking,Walking,Walking
630,Walking,Walking,Walking
631,Walking,Walking,Walking
632,Walking,Walking,Walking
633,Walking,Walking,Walking
634,Walking,Walking,Walking
635,Walking,Walking,Walking
636,Walking,Walking,Walking
637,Walking,Walking,Walking
638,Walking,Walking,Walking
639,Walking,Walking,Walking
640,Walking,Walking,Walking
641,Walking,Walking,Walking
642,Walking,Walking,Walking
643,Walking,Walking,Walking
644,Walking,Walking,Walking
645,Walking,Walking,Walking
646,Walking,Walking,StairClimbing
647,Walking,Walking,StairClimbing
648,Walking,Walking,StairClimbing
649,Walking,Walking,StairClimbing
650,Walking,StairClimbing,StairClimbing
651,Walking,StairClimbing,StairClimbing
652,StairClimbing,StairClimbing,StairClimbing
653,StairClimbing,StairClimbing,StairClimbing
654,Walking,StairClimbing,StairClimbing
655,Walking,StairClimbing,StairClimbing
656,Walking,StairClimbing,StairClimbing
657,Walking,StairClimbing,StairClimbing
658,Walking,StairClimbing,StairClimbing
659,StairClimbing,StairClimbing,StairClimbing
660,StairClimbing,StairClimbing,StairClimbing
661,StairClimbing,StairClimbing,StairClimbing
662,StairClimbing,StairClimbing,StairClimbing
663,StairClimbing,StairClimbing,StairClimbing
664,StairClimbing,StairClimbing,StairClimbing
665,StairClimbing,StairClimbing,StairClimbing
666,StairClimbing,StairClimbing,StairClimbing
667,StairClimbing,StairClimbing,StairClimbing
668,StairClimbing,StairClimbing,StairClimbing
669,StairClimbing,StairClimbing,StairClimbing
670,StairClimbing,StairClimbing,StairClimbing
671,StairClimbing,Wheeling,StairClimbing
672,Standing,Standing,Standing
673,Standing,Standing,Standing
674,Sitting,Sitting,Standing
675,Sitting,Sitting,Standing
676,Sitting,Sitting,Standing
677,Sitting,Sitting,Standing
678,Sitting,Sitting,Standing
679,Sitting,Sitting,Standing
680,Sitting,Sitting,Standing
681,Sitting,Sitting,Standing
682,Sitting,Sitting,Standing
683,Standing,StairClimbing,Standing
684,StairClimbing,StairClimbing,Standing
685,Standing,Standing,Standing
686,Sitting,Sitting,Standing
687,Sitting,Sitting,Standing
688,Sitting,Sitting,Standing
689,Sitting,Sitting,Standing
690,StairClimbing,StairClimbing,StairClimbing
