,Lying,Sitting,StairClimbing,Standing,Walking,Wheeling
Lying,1325,41,26,25,2,7
Sitting,26,783,2,84,8,283
StairClimbing,4,4,369,41,279,3
Standing,34,75,31,1060,67,2
Walking,0,7,107,50,1714,1
Wheeling,0,163,3,13,2,1659
