,StaticClassifierStates,HmmStates,target
0,Wheeling,Wheeling,Lying
1,Lying,Lying,Lying
2,Lying,Lying,Lying
3,Lying,Lying,Lying
4,Lying,Lying,Lying
5,Lying,Lying,Lying
6,Lying,Lying,Lying
7,Lying,Lying,Lying
8,Lying,Lying,Lying
9,Lying,Lying,Lying
10,Lying,Lying,Lying
11,Lying,Lying,Lying
12,Lying,Lying,Lying
13,Lying,Lying,Lying
14,Lying,Lying,Lying
15,Lying,Lying,Lying
16,Lying,Lying,Lying
17,Lying,Lying,Lying
18,Lying,Lying,Lying
19,Lying,Lying,Lying
20,Lying,Lying,Lying
21,Lying,Lying,Lying
22,Lying,Lying,Lying
23,Lying,Lying,Lying
24,Lying,Lying,Lying
25,Lying,Lying,Lying
26,Lying,Lying,Lying
27,Lying,Lying,Lying
28,Lying,Lying,Lying
29,Lying,Lying,Lying
30,Lying,Lying,Lying
31,Lying,Lying,Lying
32,Lying,Lying,Lying
33,Lying,Lying,Lying
34,Lying,Lying,Lying
35,Lying,Lying,Lying
36,Lying,Lying,Lying
37,Lying,Lying,Lying
38,Lying,Lying,Lying
39,Lying,Lying,Lying
40,Lying,Lying,Lying
41,Lying,Lying,Lying
42,Lying,Lying,Lying
43,Lying,Lying,Lying
44,Lying,Lying,Lying
45,Lying,Lying,Lying
46,Lying,Lying,Lying
47,Lying,Lying,Lying
48,Lying,Lying,Lying
49,Lying,Lying,Lying
50,Wheeling,Wheeling,Sitting
51,Wheeling,Wheeling,Sitting
52,Wheeling,Wheeling,Sitting
53,Sitting,Sitting,Sitting
54,Sitting,Sitting,Sitting
55,Wheeling,Sitting,Sitting
56,Sitting,Sitting,Sitting
57,Sitting,Sitting,Sitting
58,Sitting,Sitting,Sitting
59,Sitting,Sitting,Sitting
60,Sitting,Sitting,Sitting
61,Sitting,Sitting,Sitting
62,Wheeling,Sitting,Sitting
63,Standing,Standing,Standing
64,Standing,Standing,Standing
65,Standing,Standing,Standing
66,Walking,Walking,Standing
67,Standing,Walking,Standing
68,Standing,Standing,Standing
69,Standing,Standing,Standing
70,Standing,Standing,Standing
71,Walking,Standing,Standing
72,Standing,Standing,Standing
73,Standing,Standing,Standing
74,Standing,Standing,Standing
75,Standing,Standing,Standing
76,Standing,Standing,Standing
77,Wheeling,Wheeling,Wheeling
78,Wheeling,Wheeling,Wheeling
79,Wheeling,Wheeling,Wheeling
80,Wheeling,Wheeling,Wheeling
81,Wheeling,Wheeling,Wheeling
82,Wheeling,Wheeling,Wheeling
83,Wheeling,Wheeling,Wheeling
84,Wheeling,Wheeling,Wheeling
85,Wheeling,Wheeling,Wheeling
86,Wheeling,Wheeling,Wheeling
87,Wheeling,Wheeling,Wheeling
88,Wheeling,Wheeling,Wheeling
89,Wheeling,Wheeling,Wheeling
90,Wheeling,Wheeling,Wheeling
91,Wheeling,Wheeling,Wheeling
