,StaticClassifierStates,HmmStates,target
188,Wheeling,Wheeling,Wheeling
189,Wheeling,Wheeling,Wheeling
190,Wheeling,Wheeling,Wheeling
191,Wheeling,Wheeling,Wheeling
192,Wheeling,Wheeling,Wheeling
193,Wheeling,Wheeling,Wheeling
194,Wheeling,Wheeling,Wheeling
195,Wheeling,Wheeling,Wheeling
196,Wheeling,Wheeling,Wheeling
197,Wheeling,Wheeling,Wheeling
198,Wheeling,Wheeling,Wheeling
199,Wheeling,Wheeling,Wheeling
200,Wheeling,Wheeling,Wheeling
201,Wheeling,Wheeling,Wheeling
202,Lying,Lying,Lying
203,Lying,Lying,Lying
204,Lying,Lying,Lying
205,Lying,Lying,Lying
206,Lying,Lying,Lying
207,Lying,Lying,Lying
208,Lying,Lying,Lying
209,Lying,Lying,Lying
210,Lying,Lying,Lying
211,Lying,Lying,Lying
212,Lying,Lying,Lying
213,Lying,Lying,Lying
214,Lying,Lying,Lying
215,Lying,Lying,Lying
216,Lying,Lying,Lying
217,Lying,Lying,Lying
218,Lying,Lying,Lying
219,Lying,Lying,Lying
220,Lying,Lying,Lying
221,Lying,Lying,Lying
222,Standing,Standing,Standing
223,Standing,Standing,Standing
224,Standing,Standing,Standing
225,Standing,Standing,Standing
226,Standing,Standing,Standing
227,Standing,Standing,Standing
228,Standing,Standing,Standing
229,Standing,Standing,Standing
230,Standing,Standing,Standing
231,Standing,Standing,Standing
232,Walking,Standing,Standing
233,Standing,Standing,Standing
234,Standing,Standing,Standing
235,Standing,Standing,Standing
236,StairClimbing,StairClimbing,Walking
237,StairClimbing,StairClimbing,Walking
238,Walking,StairClimbing,Walking
239,Walking,Walking,Walking
240,Walking,Walking,Walking
241,Walking,Walking,Walking
242,Walking,Walking,Walking
243,Walking,Walking,Walking
244,Walking,Walking,Walking
245,Walking,Walking,Walking
246,Walking,Walking,Walking
247,Walking,Walking,Walking
248,Walking,Walking,Walking
249,Walking,Walking,Walking
250,Walking,Walking,Walking
251,Walking,Walking,Walking
252,Walking,Walking,Walking
253,Walking,Walking,Walking
254,Walking,Walking,Walking
255,Walking,Walking,Walking
256,Walking,Walking,Walking
257,StairClimbing,Walking,Walking
258,Walking,Walking,Walking
259,Walking,Walking,Walking
260,Walking,Walking,Walking
261,Walking,Walking,Walking
262,Walking,Walking,Walking
263,Walking,Walking,Walking
264,Walking,Walking,Walking
265,Walking,Walking,Walking
266,Walking,Walking,Walking
267,Walking,Walking,Walking
268,Walking,Walking,Walking
269,Walking,Walking,Walking
270,Walking,Walking,Walking
271,StairClimbing,Walking,Standing
272,Standing,Standing,Standing
273,Standing,Standing,Standing
274,Standing,Standing,Standing
275,Standing,Standing,Standing
276,Standing,Standing,Standing
277,Standing,Standing,Standing
278,Standing,Standing,Standing
279,Standing,Standing,Standing
280,Standing,Standing,Standing
281,Walking,Walking,Standing
282,Walking,Walking,Standing
283,Walking,Walking,Standing
284,Walking,Walking,Standing
285,Walking,Walking,Standing
286,Walking,Walking,Standing
287,Walking,Walking,Standing
288,Standing,Standing,Standing
289,Standing,Standing,Standing
290,Standing,Standing,Standing
291,Lying,Lying,Lying
292,Lying,Lying,Lying
293,Lying,Lying,Lying
294,Lying,Lying,Lying
295,Lying,Lying,Lying
296,Lying,Lying,Lying
297,Lying,Lying,Lying
298,Lying,Lying,Lying
299,Lying,Lying,Lying
300,Lying,Lying,Lying
301,Lying,Lying,Lying
302,Lying,Lying,Lying
303,Lying,Lying,Lying
304,Lying,Lying,Lying
305,Lying,Lying,Lying
306,Lying,Lying,Lying
307,Lying,Lying,Lying
308,Lying,Lying,Lying
309,Lying,Lying,Lying
310,Lying,Lying,Lying
311,Lying,Lying,Lying
312,Wheeling,Wheeling,Wheeling
313,Wheeling,Wheeling,Wheeling
314,Wheeling,Wheeling,Wheeling
315,Wheeling,Wheeling,Wheeling
316,Wheeling,Wheeling,Wheeling
317,Wheeling,Wheeling,Wheeling
318,Wheeling,Wheeling,Wheeling
319,Wheeling,Wheeling,Wheeling
320,Wheeling,Wheeling,Wheeling
321,Wheeling,Wheeling,Wheeling
322,Wheeling,Wheeling,Wheeling
323,Wheeling,Wheeling,Wheeling
324,Wheeling,Wheeling,Wheeling
325,Wheeling,Wheeling,Wheeling
326,Wheeling,Wheeling,Wheeling
327,Wheeling,Wheeling,Wheeling
328,Wheeling,Wheeling,Wheeling
329,Wheeling,Wheeling,Wheeling
330,Wheeling,Wheeling,Wheeling
331,Wheeling,Wheeling,Wheeling
332,Wheeling,Wheeling,Wheeling
333,Wheeling,Wheeling,Wheeling
334,Wheeling,Wheeling,Wheeling
335,Wheeling,Wheeling,Wheeling
336,Wheeling,Wheeling,Wheeling
337,Wheeling,Wheeling,Wheeling
338,Wheeling,Wheeling,Wheeling
339,Wheeling,Wheeling,Wheeling
340,Wheeling,Wheeling,Wheeling
341,Wheeling,Wheeling,Wheeling
342,Wheeling,Wheeling,Wheeling
343,Wheeling,Wheeling,Wheeling
344,Wheeling,Wheeling,Wheeling
345,Wheeling,Wheeling,Wheeling
346,Sitting,Sitting,Sitting
347,Lying,Sitting,Sitting
348,Lying,Sitting,Sitting
349,Lying,Sitting,Sitting
350,Sitting,Sitting,Sitting
351,Sitting,Sitting,Sitting
352,Sitting,Sitting,Sitting
353,StairClimbing,StairClimbing,Walking
354,Walking,Walking,Walking
355,Walking,Walking,Walking
356,Walking,Walking,Walking
357,Walking,Walking,Walking
358,Walking,Walking,Walking
359,Walking,Walking,Walking
360,Walking,Walking,Walking
361,Walking,Walking,Walking
362,Walking,Walking,Walking
363,Walking,Walking,Walking
364,Walking,Walking,Walking
365,Walking,Walking,Walking
366,Walking,Walking,Walking
367,Walking,Walking,Walking
368,Walking,Walking,Walking
369,Walking,Walking,Walking
370,Walking,Walking,Walking
371,Walking,Walking,Walking
372,Walking,Walking,Walking
373,StairClimbing,Walking,Walking
374,Walking,Walking,Walking
375,Walking,Walking,Walking
376,Walking,Walking,Walking
377,Walking,Walking,Walking
378,Walking,Walking,Walking
379,Walking,Walking,Walking
380,Walking,Walking,Walking
381,Walking,Walking,Walking
382,Walking,Walking,Walking
383,Walking,Walking,Walking
384,Walking,Walking,Walking
385,Walking,Walking,Walking
386,Walking,Walking,Walking
387,Walking,Walking,Walking
388,Walking,Walking,Walking
389,StairClimbing,StairClimbing,Walking
390,StairClimbing,StairClimbing,Walking
391,StairClimbing,StairClimbing,Walking
392,Wheeling,Wheeling,Wheeling
393,Wheeling,Wheeling,Wheeling
394,Wheeling,Wheeling,Wheeling
395,Wheeling,Wheeling,Wheeling
396,Wheeling,Wheeling,Wheeling
397,Wheeling,Wheeling,Wheeling
398,Wheeling,Wheeling,Wheeling
399,Wheeling,Wheeling,Wheeling
400,Wheeling,Wheeling,Wheeling
401,Wheeling,Wheeling,Wheeling
402,Wheeling,Wheeling,Wheeling
403,Wheeling,Wheeling,Wheeling
404,Wheeling,Wheeling,Wheeling
405,Wheeling,Wheeling,Wheeling
406,Wheeling,Wheeling,Wheeling
407,Wheeling,Wheeling,Wheeling
408,Wheeling,Wheeling,Wheeling
409,Wheeling,Wheeling,Wheeling
410,Wheeling,Wheeling,Wheeling
411,Wheeling,Wheeling,Wheeling
412,Wheeling,Wheeling,Wheeling
413,Wheeling,Wheeling,Wheeling
414,Wheeling,Wheeling,Wheeling
415,Wheeling,Wheeling,Wheeling
416,Wheeling,Wheeling,Wheeling
417,Wheeling,Wheeling,Wheeling
418,Wheeling,Wheeling,Wheeling
419,Wheeling,Wheeling,Wheeling
420,Wheeling,Wheeling,Wheeling
421,Standing,StairClimbing,Standing
422,StairClimbing,StairClimbing,Standing
423,Standing,StairClimbing,Standing
424,Standing,StairClimbing,Standing
425,StairClimbing,StairClimbing,Standing
426,Standing,StairClimbing,Standing
427,Standing,Standing,Standing
428,Standing,Standing,Standing
429,Standing,Standing,Standing
430,Standing,Standing,Standing
431,Standing,StairClimbing,Standing
432,StairClimbing,StairClimbing,Standing
433,Standing,StairClimbing,Standing
434,Lying,StairClimbing,Standing
435,StairClimbing,StairClimbing,Standing
436,Lying,StairClimbing,Standing
437,Sitting,Sitting,Sitting
438,Sitting,Sitting,Sitting
439,Sitting,Sitting,Sitting
440,Sitting,Sitting,Sitting
441,Sitting,Sitting,Sitting
442,Sitting,Sitting,Sitting
443,Sitting,Sitting,Sitting
444,Sitting,Sitting,Sitting
445,Sitting,Sitting,Sitting
446,Sitting,Sitting,Sitting
447,Sitting,Sitting,Sitting
