,Lying,Sitting,StairClimbing,Standing,Walking,Wheeling
Lying,1311,42,13,47,0,13
Sitting,21,836,0,81,3,245
StairClimbing,0,2,517,18,163,0
Standing,32,64,36,1087,47,3
Walking,0,4,102,32,1740,1
Wheeling,0,156,8,10,1,1665
