,meanX,abs(meanX),meanY,abs(meanY),meanZ,abs(meanZ),skewX,skewY,skewZ,kurtosisX,kurtosisY,kurtosisZ,stdX,stdY,stdZ,rmsX,rmsY,rmsZ,minX,minY,minZ,maxX,maxY,maxZ,absMinX,absMinY,absMinZ,absMaxX,absMaxY,absMaxZ,meanXY,meanXZ,meanYZ,absMeanXY,absMeanXZ,absMeanYZ,overallMeanAcceleration,target
142,-0.8940166666666666,0.8940166666666666,0.4718666666666666,0.4718666666666666,-0.03833333333333333,0.04490000000000001,-0.5007073987626941,-0.49106072604351375,0.30698082752294437,-0.6197640713395982,-0.031283218069362295,-0.8024441810518503,0.02783193110240267,0.024459808303055476,0.03708893216161513,0.8944497843180838,0.4725001940034875,0.05333885388094999,-0.959,0.408,-0.103,-0.85,0.519,0.047,0.85,0.408,0.0,0.959,0.519,0.103,-0.4217887666666666,0.03373248333333334,-0.01799565,0.4217887666666666,0.03373248333333334,0.01799565,-0.15349444444444443,Wheeling
143,-0.8933833333333332,0.8933833333333332,0.47115000000000007,0.47115000000000007,-0.020233333333333336,0.03836666666666667,-0.34888247083132284,0.2776457374420022,0.3015047205383287,0.650778194211528,-0.5204302229541145,-0.4251301405651269,0.02763457476101673,0.026336808842378757,0.04191235564312218,0.8938106343068424,0.47188552637265746,0.04654066322403811,-0.977,0.428,-0.094,-0.836,0.537,0.08800000000000001,0.836,0.428,0.0,0.977,0.537,0.094,-0.42080555,0.01777933333333333,-0.008990400000000003,0.42080555,0.01777933333333333,0.008990400000000003,-0.1474888888888888,Wheeling
144,-0.8846166666666666,0.8846166666666666,0.4786333333333333,0.4786333333333333,-0.05958333333333333,0.05958333333333333,0.0007092611654878408,-0.19694694835148532,-0.03983395185006044,0.3571970673659939,-0.5567484253193773,-0.42283446920217704,0.023013830382813055,0.020067358792050554,0.022766416543281952,0.8849159752955833,0.4790538243941558,0.06378466377847683,-0.941,0.428,-0.111,-0.821,0.519,-0.009000000000000001,0.821,0.428,0.009000000000000001,0.941,0.519,0.111,-0.4232902500000001,0.05269513333333334,-0.02851043333333334,0.4232902500000001,0.05269513333333334,0.02851043333333334,-0.15518888888888888,Wheeling
145,-0.8785666666666667,0.8785666666666667,0.4940999999999999,0.4940999999999999,-0.07070000000000001,0.07070000000000001,-0.2258098041644736,-0.761188486814184,0.1701032921593969,-0.18976203675336833,0.7921354555675495,0.0829551251507672,0.021060521255551957,0.02745827137069388,0.022615112940981157,0.8788190560822708,0.4948623714394404,0.07422892517969888,-0.93,0.416,-0.126,-0.833,0.56,-0.012,0.833,0.416,0.012,0.93,0.56,0.126,-0.4339116333333333,0.06213608333333333,-0.034822033333333335,0.4339116333333333,0.06213608333333333,0.034822033333333335,-0.15172222222222229,Wheeling
146,-0.8628666666666667,0.8628666666666667,0.51285,0.51285,-0.09803333333333335,0.09803333333333335,-0.27692051890721264,0.1937296305058208,-0.12263488931533154,4.052901003333493,-0.12507333787094144,-0.0766201334235368,0.03524460557620445,0.02218169290203072,0.024319379560799294,0.8635861663242798,0.5133294750937257,0.1010047853651829,-0.997,0.463,-0.161,-0.7509999999999999,0.563,-0.044,0.7509999999999999,0.463,0.044,0.997,0.563,0.161,-0.44230675,0.08434413333333332,-0.050222083333333334,0.44230675,0.08434413333333332,0.050222083333333334,-0.14935,Wheeling
147,-0.8783666666666667,0.8783666666666667,0.49358333333333326,0.49358333333333326,-0.06726666666666667,0.06726666666666667,-0.4653852583090332,0.6440254229690157,0.09100943396335506,0.1760472341159094,0.9971481385280647,-0.7380746387665562,0.027115780563272657,0.023583392226074872,0.029593280017974052,0.8787851083550896,0.4941464189218954,0.07348854786064743,-0.947,0.449,-0.135,-0.812,0.575,-0.012,0.812,0.449,0.012,0.947,0.575,0.135,-0.43363986666666665,0.059000716666666654,-0.03316073333333334,0.43363986666666665,0.059000716666666654,0.03316073333333334,-0.1506833333333334,Wheeling
148,-0.8776833333333335,0.8776833333333335,0.4887833333333334,0.4887833333333334,-0.08848333333333333,0.08945,0.8621465686833988,0.5275929456233363,0.6497333446687708,3.970432909794786,0.51140879248192,1.042525283412484,0.036504562119761885,0.022363729315319675,0.03494447579931467,0.8784421532842481,0.4892946794451513,0.0951336778783763,-0.985,0.4370000000000001,-0.155,-0.7390000000000001,0.5539999999999999,0.026,0.7390000000000001,0.4370000000000001,0.003,0.985,0.5539999999999999,0.155,-0.4289579,0.07742104999999998,-0.043105266666666676,0.4289579,0.07742104999999998,0.043105266666666676,-0.15912777777777778,Wheeling
149,-0.8981333333333333,0.8981333333333333,0.46410000000000007,0.46410000000000007,-0.018116666666666666,0.031483333333333335,-0.11832531611278144,0.041931673094808254,0.003512145572875202,-0.5091562089041344,-0.4739439543398083,-0.7958862758660725,0.02808704723217132,0.03712936842985616,0.03517674026335521,0.8985724047992274,0.46558286050927605,0.03956787417421697,-0.962,0.381,-0.08199999999999999,-0.8420000000000001,0.5429999999999999,0.065,0.8420000000000001,0.381,0.0,0.962,0.5429999999999999,0.08199999999999999,-0.41611873333333343,0.016206549999999997,-0.00830345,0.41611873333333343,0.016206549999999997,0.00830345,-0.15071666666666664,Wheeling
150,-0.8739166666666667,0.8739166666666667,0.5054833333333334,0.5054833333333334,-0.04748333333333333,0.04961666666666666,0.16810648363639055,-0.2337686494203935,-0.604471827530028,-0.20269281701869968,-0.47260084982629413,-0.7089570885901844,0.024989525583509753,0.03106095709336007,0.04459278404505475,0.8742738796662444,0.506436751562654,0.06513972162462266,-0.924,0.4370000000000001,-0.141,-0.809,0.569,0.029,0.809,0.4370000000000001,0.0,0.924,0.569,0.141,-0.4412405999999999,0.0408815,-0.02466421666666667,0.4412405999999999,0.0408815,0.02466421666666667,-0.13863888888888887,Wheeling
151,-0.8791333333333332,0.8791333333333332,0.4924833333333334,0.4924833333333334,-0.07006666666666668,0.07046666666666668,-0.8704582490380189,0.03283435724555791,-0.26123705091395594,1.8754566478264065,-0.34885046775721795,-0.9017012397526809,0.03301033508194399,0.027384601309657385,0.04474217498314339,0.8797528630246111,0.49324410792223355,0.08313362737184034,-0.997,0.434,-0.155,-0.812,0.5539999999999999,0.012,0.812,0.434,0.0,0.997,0.5539999999999999,0.155,-0.4328732166666667,0.06100306666666667,-0.034221166666666664,0.4328732166666667,0.06100306666666667,0.034221166666666664,-0.15223888888888884,Wheeling
