,Lying,Sitting,StairClimbing,Standing,Walking,Wheeling
Lying,1312,6,13,64,0,31
Sitting,20,712,0,78,4,372
StairClimbing,0,1,477,25,197,0
Standing,35,62,32,1089,48,3
Walking,0,4,100,29,1743,3
Wheeling,0,216,5,10,2,1607
